2306,62
2305,132
2304,74
2303,38
2302,148
2301,157
2300,119
2309,43
2308,120
2307,150
2320,122
2317,171
1,16
2316,122
2,17
2315,55
3,15
2314,241
4,13
2313,127
5,13
2312,40
6,16
2311,69
7,13
2310,139
8,17
9,13
2319,160
2318,66
1000,12
2331,23
2330,34
2328,23
2327,85
2326,88
2325,64
2324,117
2323,109
2322,69
2321,132
2329,21
1011,16
2342,237
1010,97
2341,212
2340,120
1008,71
2339,100
1007,43
2338,47
1006,39
2337,53
1005,14
2336,25
1004,12
2335,26
1003,248
2334,25
1002,114
2333,28
1001,113
2332,23
1009,39
1022,15
2353,83
1021,14
2352,21
1020,14
2351,19
2350,22
1019,14
1018,12
2349,34
1017,24
2348,16
1016,31
2347,25
1015,76
2346,29
1014,100
2345,86
1013,82
2344,267
1012,188
2343,172
1033,141
2364,43
1032,175
2363,24
1031,45
2362,26
1030,100
2361,22
2360,24
1029,137
1028,65
2359,171
1027,13
2358,202
1026,86
2357,136
1025,110
2356,99
1024,17
2355,131
1023,16
2354,196
1044,50
2375,164
1043,71
2374,98
1042,16
2373,138
1041,12
2372,146
1040,14
2371,72
2370,111
1039,16
1038,16
2369,143
1037,18
2368,129
1036,15
2367,132
1035,97
2366,124
1034,93
2365,70
1055,17
2386,16
1054,12
2385,29
1053,37
2384,20
1052,76
2383,146
1051,150
2382,18
1050,34
2381,19
2380,149
1049,100
1048,83
2379,131
1047,58
2378,162
1046,129
2377,166
1045,59
2376,113
1066,184
2397,14
1065,26
2396,198
1064,15
2395,54
1063,17
2394,40
1062,126
2393,35
1061,11
2392,23
1060,11
2391,33
2390,171
1059,12
1058,15
2389,104
1057,13
2388,132
1056,11
2387,62
1077,12
1076,11
1075,11
1074,10
1073,37
1072,88
1071,82
1070,19
1069,20
1068,15
2399,63
1067,61
2398,121
1080,13
1088,108
1087,55
1086,27
1085,18
1084,77
1083,108
1082,18
1081,13
1079,15
1078,15
1091,15
1090,13
1099,200
1098,190
1097,35
1096,20
1095,14
1094,11
1093,13
1092,13
1089,14
200,15
201,15
202,90
203,21
204,14
205,53
206,12
207,15
208,18
209,16
210,20
211,13
212,11
213,14
214,15
215,18
216,19
217,9
218,15
219,12
220,20
221,15
222,52
223,11
224,94
225,15
226,18
227,10
228,11
229,11
230,15
231,22
232,17
233,15
234,16
235,12
236,55
237,15
238,20
239,23
1909,54
1908,211
240,19
241,108
242,53
243,166
244,13
245,20
246,16
247,13
248,92
249,20
1907,89
1906,174
1905,112
1904,38
1903,32
1902,99
1901,114
1900,102
1919,26
250,16
251,61
252,79
253,25
1910,86
254,104
255,11
256,15
257,13
258,13
259,14
1918,17
1917,45
1916,136
1915,147
1914,26
1913,29
1912,77
1911,145
260,13
261,11
262,13
263,15
264,14
1921,49
265,56
1920,22
266,17
267,17
